1;Producto_1;Marca_5;CAT1;76;6524.4;8155.5;14/9/2024;25;Proveedor [id=47, nombre=Nombre_47, apellido=Apellido_47, dni=64576312, domicilio=Domicilio [calle=Calle_12, altura=4450, piso=7, depto=R], tipoPersona=PROVEEDOR, email=persona47@example.com, active=false]
1;Producto_1;Marca_5;CAT1;76;6524.4;8155.5;14/9/2024;25;Proveedor [id=47, nombre=Nombre_47, apellido=Apellido_47, dni=64576312, domicilio=Domicilio [calle=Calle_12, altura=4450, piso=7, depto=R], tipoPersona=PROVEEDOR, email=persona47@example.com, active=false]
2;Producto_2;Marca_3;CAT2;84;8074.2;10092.8;9/12/2024;25;Proveedor [id=422, nombre=Nombre_422, apellido=Apellido_422, dni=23301077, domicilio=Domicilio [calle=Calle_78, altura=2507, piso=9, depto=W], tipoPersona=PROVEEDOR, email=persona422@example.com, active=false]
3;Producto_3;Marca_4;CAT2;16;7425.8;9282.3;24/3/2024;25;Proveedor [id=697, nombre=Nombre_697, apellido=Apellido_697, dni=13695541, domicilio=Domicilio [calle=Calle_78, altura=3283, piso=9, depto=J], tipoPersona=PROVEEDOR, email=persona697@example.com, active=false]
4;Producto_4;Marca_5;CAT3;51;3890.5;4863.1;8/3/2024;25;Proveedor [id=495, nombre=Nombre_495, apellido=Apellido_495, dni=20436608, domicilio=Domicilio [calle=Calle_84, altura=4484, piso=6, depto=S], tipoPersona=PROVEEDOR, email=persona495@example.com, active=true]
5;Producto_5;Marca_1;CAT2;50;10060.2;12575.3;1/11/2024;25;Proveedor [id=62, nombre=Nombre_62, apellido=Apellido_62, dni=10085148, domicilio=Domicilio [calle=Calle_27, altura=1669, piso=5, depto=E], tipoPersona=PROVEEDOR, email=persona62@example.com, active=false]
6;Producto_6;Marca_2;CAT1;70;230.8;288.5;12/5/2024;25;Proveedor [id=260, nombre=Nombre_260, apellido=Apellido_260, dni=98112347, domicilio=Domicilio [calle=Calle_44, altura=1677, piso=5, depto=M], tipoPersona=PROVEEDOR, email=persona260@example.com, active=false]
7;Producto_7;Marca_3;CAT2;56;6522.1;8152.6;8/3/2024;25;Proveedor [id=294, nombre=Nombre_294, apellido=Apellido_294, dni=16221314, domicilio=Domicilio [calle=Calle_7, altura=1206, piso=5, depto=B], tipoPersona=PROVEEDOR, email=persona294@example.com, active=true]
8;Producto_8;Marca_4;CAT2;21;10022.9;12528.6;27/6/2024;25;Proveedor [id=522, nombre=Nombre_522, apellido=Apellido_522, dni=62337376, domicilio=Domicilio [calle=Calle_47, altura=2038, piso=1, depto=X], tipoPersona=PROVEEDOR, email=persona522@example.com, active=false]
9;Producto_9;Marca_5;CAT2;27;5274.5;6593.1;28/2/2024;25;Proveedor [id=477, nombre=Nombre_477, apellido=Apellido_477, dni=89723572, domicilio=Domicilio [calle=Calle_74, altura=2550, piso=4, depto=M], tipoPersona=PROVEEDOR, email=persona477@example.com, active=false]
